N,Quiz Key,Quiz Name,Complexity,total # of blocks,# of blocks given,# of yellow blocks,# of purple blocks,# of orange blocks,# of blue,# of green,# of abstractions,# of ifs,# of if/else,loops,lists,procedures,proc. w/params,# of variables,complex
1,LXgF4NO50hNM,quiz_pause_the_player,2.01,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2
2,BtQ8hSoGkeml,quiz_button_click_stop_player,1.61,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2
3,Dstsv7VuDQb5,quiz_stop_player_if_playing,3.3,5,3,2,2,0,0,1,2,1,1,0,0,0,0,0,5
4,twxBgieSEwqs,quiz_if_else_stop_start_player,3.87,5,1,2,2,0,0,1,2,1,1,0,0,0,0,0,5
5,a3uBZXYSOJee,quiz_background_color,2.76,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2
6,pnhvzarYPPW1,quiz_text_color,4.56,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
7,G3qzTftPYKTe,quiz_incrementing,3.62,6,2,0,0,3,3,0,1,0,0,0,0,0,0,1,4
8,4kITN7u5hdsO,quiz_initialize_variable,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2
10,8T30OkUf5r1r,quiz_simple_if_else,3.45,16,5,1,0,6,8,0,2,1,1,0,0,0,0,2,7
11,KQctST8skmaC,quiz_proc_double,8.86,7,2,0,1,3,3,0,2,0,0,0,0,1,0,1,5
12,v2m4Ks25S1MX,quiz_add_globals,3.11,11,6,0,1,6,4,0,2,0,0,0,0,1,0,3,5
13,rCgLbJRceEbn,quiz_reset_score,4.65,5,2,0,1,2,2,0,2,0,0,0,0,1,0,1,4
14,7uowepixSjT4,quiz_calculate_hit_rate,4.83,13,6,0,1,7,5,0,2,0,0,0,0,1,0,3,5
15,w18q4UWKxvlM,quiz_procedure_bug,3.31,17,17,0,3,8,5,1,3,0,0,0,0,1,0,3,6
16,rvjUJMaLZ56s,quiz_if_x_greater_than_y,1.73,12,4,1,0,4,3,2,2,1,1,0,0,0,0,2,6
